NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
16.7 42 6.5 0 14.5 0 0 0 4 0 57.5 31
9 23 27 33 0 0 0 0 0 0 15 11.8
112 60 20 11 7.5 0 1 0 0 0 0 9.5
27.5 26.5 18.5 12.5 0 0 0 0 2.3 1.5 15.5 7.5
27 19 29 8.5 0.5 0 0 0 1.8 4.5 29 17
26 63.5 42.5 21 3 0 0 6.5 11 45 19.5 15
7 0 1 3.5 0 0 2.5 3.7 0 1.8 10 26.9
5.5 12.5 8.5 2 0 0 8.5 0 14 15.5 42 20
12.5 14 37 3 0 0 1 1.5 5 13 8 10
33.5 27 11 13 1.5 0 0 2 4.5 28.5 22 31.5
50.5 11 19 18.5 0 0 5.5 0 0 0.5 5 11
3.5 3 14 0.5 1.5 0 0.1 0 1 3.5 0.1 2
19.5 6.5 3.5 4 6.5 2 0.1 0.1 0.1 0.1 16.5 14.5
18.5 42 25.5 0.5 0.1 0 12 0 0.2 14.5 5.5 13
28.5 36 26.5 1.5 17 0 0.1 19 0 5 0 42
49.5 44 10 0 3 3.5 0 0 0 2 8.5 12.5
14.5 25 16 9.5 0 0 0 17.5 0 0.1 6 16
31.5 57.5 33 22 6.5 4.5 1.5 0 6.5 0.1 4.5 4.5
14 22 26 1.5 0 0 0.1 5 0 0.1 9.5 4.5
39 19 0 5 0 4.5 0 0.1 13.5 1 35.5 27
13.5 62 31 17.5 12.5 0.1 0.1 27 4 4.5 13.5 9
8 17.5 12.5 19 0.1 1 3.5 0 0.1 0 0 3.5
6 34 20 9 0 12.5 0 0 2 4.5 10 3.5
29 16.5 10.5 10 0 0 3.5 2 1.5 0 9 13
2 1.5 9 2.2 0 0 3.5 0 10 0.5 9 9
2 43 28.5 25 2 0 7 2 0.5 0 9 12.5
4.5 30 6.5 5 0 0 0 3 5 69 11 70
22.5 23 4.5 4 2.5 0 0.5 1.5 0 9 0 0
2 1.5 24 17 16 0 0 0 0.8 3 0.4 4
12 9.5 5.4 5.5 3.8 0 0 0 1.5 0 43 8
33 14 12 0 6.7 1.1 0 3.4 0 0 26.2 NA
1.1 17.5 0 5.7 0 1 0 1.2 5 0 12 11.6
66.4 24.9 13.7 15.2 0 0 1.5 0 0 28.5 9.4 22.5
14.2 48.3 25.2 9.3 25.2 0 3.2 0 0 4.9 30.7 20.9
3.5 17.5 35.5 16.2 0 0 0 3.8 6.8 1.3 NA NA
