 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2001 
 NOMBRE    : AGUA CALIENTE 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976	0	107.1	37.1	24.7	0	0	3.9	0.4	92.4	2.9	48.2	34.2	350.9	29.2	12
1977	38.4	11	31.8	4.7	22.5	2.8	0	89	0	19.8	6.5	92.9	319.4	26.6	12
1978	119.6	124.6	143.1	29.4	0	0	0	0	8.5	0	91.3	72.7	589.2	49.1	12
1979	115	20.2	117.3	0.3	9	0	4.5	0	0	9.5	6.7	21.5	304	25.3	12
1980	191.6	197.8	85.8	24.3	11.5	0	2	0	0	0	0	9.7	522.7	43.6	12
1981	40.3	61	68	17.5	0	0	0	0	2.3	2	32.5	7.5	231.1	19.3	12
1982	77.7	27.6	108	8.5	1.2	0	0	0	3.6	4.5	76.6	73	380.7	31.7	12
1983	52.2	109.4	161	57.8	3	0	0	19.4	20	45	54	33	554.8	46.2	12
1984	13.5	0	1	12.2	0	0	6.8	4.2	0	1.8	26.1	76.9	142.5	11.9	12
1985	14.1	32.2	22	5	0	0	10	0	21	28.7	81.1	27.5	241.6	20.1	12
1986	22.3	47.5	78.5	3	0	0	1.5	1.5	6	13	8	29	210.3	17.5	12
1987	40.8	75.1	32.9	13	3	0	0	2	9.5	102	46.5	55	379.8	31.6	12
1988	65	20	19	54.5	0	0	5.5	0	0	0.5	11	34.2	209.7	17.5	12
1989	11.3	5	29.1	0.5	1.6	0	0.1	0	1.1	6.7	0.2	3.4	59	4.9	12
1990	79.3	23.5	11	8.9	6.5	3	0.1	0.2	0.1	0.1	19	31.6	183.3	15.3	12
1991	39.7	42	141.5	0.6	0.2	0	21.7	0	0.5	14.6	7	38.6	306.4	25.5	12
1992	49.6	108.4	110.1	1.5	19.7	0	0.2	19.3	0	6.1	0	123.2	438.1	36.5	12
1993	216.1	143.2	22.6	0	3	3.5	0	0	0	2.1	20.5	22.6	433.6	36.1	12
1994	20.5	84	60	18.6	0	0	0	21	0	0.2	12.6	32.2	249.1	20.8	12
1995	145.5	62.8	97.6	31.1	11	5.5	1.5	0	6.7	0.1	4.5	11.7	378	31.5	12
1996	33	47.1	54.5	2.5	0	0	0.1	10	0	0.1	15.1	10.5	172.9	14.4	12
1997	70.3	33.2	0	8.5	0	4.7	0	0.3	26.1	1.1	53.1	85	282.3	23.5	12
1998	33.8	233.5	112.1	38.6	17.1	0.2	0.2	30.6	4.1	4.6	19.1	21.8	515.7	43	12
1999	23.1	18.1	23.3	46.2	0.1	1.5	4.6	0	0.3	0	0	6	123.2	10.3	12
2000	6.51	85.02	28.02	9.01	0.01	12.5	0	0.02	2.01	12.02	13.52	3.51	172.15	14.3	12
2001	90.01	83.53	28.01	31.5	0.01	0	5.02	2	1.5	0	10.52	28.52	280.62	23.4	12
2002	2.06	1.51	22.11	8.02	0	0	3.5	0	14	0.51	18.51	33.02	103.24	8.6	12
2003	3	118.51	51.5	27.73	3.01	0.01	11.04	2.52	0.52	0	14.02	15.03	246.89	20.6	12
2004	11.54	71.52	10.5	8.02	0	0	0.01	4	5	143.5	25.5	104.02	383.61	32	12
2005	64.41	84.53	14.62	5.53	3.5	0	0.5	1.51	0	9.01	0.01	0	183.62	15.3	12
2006	3.5	3.5	67.12	29.51	16	0	0.08	0	0.8	3.51	0.41	13.6	138.03	11.5	12
2007	16.41	27.21	8.12	6.4	3.8	0	0	0.01	1.52	0	50	20.62	134.09	11.2	12
