 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22063 
 NOMBRE    : QUERETARO (DGE) 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2019	0	0	17.4	0.4	25.71	228.61	99.33	89.81	57	90.41	1.42	13.7	623.79	52	12
2020										0			0	0	1
2023										0			0	0	1
MÍNIMA	0	0	0	0	2.93	0.15	26	12.1	0	0	0	0	0	0	
MÁXIMA	93.8	160.92	119.12	70.3	150.74	266	254.9	269.7	274.82	90.41	49.5	32.3	806.4	77.5	
MEDIA	12.2	18	10.8	11.8	44.6	101	125.7	94.7	94.8	32	11.6	8	441.4	41.8	
DESV.ST	20.4	35.5	24.3	17.2	39	70.9	62.9	62.2	62.3	30.1	12.8	10.6	259	21.6	

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984	104.5	140.9	213.4	244.1	207.3	170.9							1081.1	180.2	6
1988							241.35					156.43	397.78	198.9	2
1989	170.91	166.43	270.75	282.78		19.42	265.83	195.15					1371.27	195.9	7
1990					175.44	208.94	189.96	118.06	125.32	143.19	20.99		981.9	140.3	7
1991	134.46	167.41	257.36	313.03	112.35		127.58	115.7	84.27	8.97		15.03	1336.16	133.6	10
1992	4.8	128.98	152.1						57.29	88.84	32.69	155.81	620.51	88.6	7
1993	67.19	72.23	145.56	178.84	120.91	33.62	185.27	219.34	168.87	97.59	68.48	26.59	1384.49	115.4	12
1994	34.28	81.55	74.47	59.19	26.35	63.51	96.99	107.22	145.84	57.05			746.45	74.6	10
1996					6.3								6.3	6.3	1
2002	125.53	130.34	222.36	79.02	238.66	216.62	156.75	205.76	130.26	92.63	103.83	114.75	1816.51	151.4	12
2003	124.37												124.37	124.4	1
2005	128.49	137.94	199.21	237.57	251.01	235.33							1189.55	198.3	6
2006	144.14	156.58	223.68	237.04	228.21	210.35							1200	200	6
2007	113.61	142.69	193.2	236.97	227.04	190.53	191.97	189.07	160.79	157.44	135.11	117.73	2056.15	171.3	12
2008	136.12	170.95	211.4	240.24	229.32	190.73	164.13	172.37	143.78	151.81	123.61	124.03	2058.49	171.5	12
2009	136.39	158.21	210.22	227.23	227.97	177.03	213.21	206.28	146.02	128.6	126.03	100.44	2057.63	171.5	12
2010	106.52	106.45	189.89	203.35	242.82	225.76	153.17	181.25	144.65	171.9	141.51	140.85	2008.12	167.3	12
2011	139.54	151.26	217.86	246.81	254.01	206.84	165.06	186.51	172.35	168.29	137.82	120.07	2166.42	180.5	12
2012	121.58	109.57	203.48	229.21	241.33	207.4	180.49	164.25	159.73	172.9	119.87		1909.81	173.6	11
2013	115.45	162.65		240.54	234.6	206.65		178.69	128.14	143.19	115.21	98.93	1624.05	162.4	10
2014	115.01					180.52	180.49	192.88	151.27	147.15	110.48	93.68	1171.48	146.4	8
2015	116.03	132.83	156.35	199.95	186.64	162.35	150.88	173.63	157.52	122.46	72.62	81.02	1712.28	142.7	12
2016	75.71	134.53	153.11	194.68	206.14	170.96	162.13	158.28	126.2	126.49	95.39	96.26	1699.88	141.7	12
2017	103.17	121	154.5	203.07	210.54	184.73	166.51	188.21	121.15	120.24	126.17	98.52	1797.81	149.8	12
2018	108.19	116.19	195.96	205.56	206.18	197.52	166.72	147.17	141.47	124.23	98.12	95.73	1803.04	150.3	12
2019	113.17	148.63	193.26	215.02	224.57	165.9	148.84	156.52	141.35	136.5	109.46	96.24	1849.46	154.1	12
2020										7.57			7.57	7.6	1
MÍNIMA	4.8	72.23	74.47	59.19	6.3	19.42	96.99	107.22	57.29	7.57	20.99	15.03	6.3	6.3	
MÁXIMA	170.91	170.95	270.75	313.03	254.01	235.33	265.83	219.34	172.35	172.9	141.51	156.43	2166.42	200	
MEDIA	110.4	135.1	191.9	213.7	193.2	172.6	174.1	171.4	137.2	118.4	102.2	101.9	1339.9	144.4	
DESV.ST	36.1	26.9	43.6	58.1	69.7	59.7	37.8	31.4	27.9	47.9	35	37.5	659.7	50.2	

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982						35.5	30.5		30.5	30.2		25	151.7	30.3	5
1983	27	26.8	30.4	37	36.8	34							192	32	6
1984	26	27.7	31.7	34.4	34.2	31.3	29.4	29	28	30.6	29.4	26.2	357.9	29.8	12
1985	26.2	29.4	30.7	34	35.6	31.8	28	29.6	29.6	29.4	28.9	27	360.2	30	12
1988							30					26.4	56.4	28.2	2
1989	27.4	27.5	29.9	31.4	34.2	34.6	32.5	28.8	28	30.6	29	25.4	359.3	29.9	12
1990	27	27.4	30.6	32.4	35.4	31.7	29	28.3	28.5	29.4	27.6	27.2	354.5	29.5	12
1991	26.8	28.2	33.4	33.7	34.3	33.5	28.4	29.1	29.1	28.4	26.7	26.1	357.7	29.8	12
1992	24.2	26.6	29.7	30.5	30.6	32.6	30.1	28.2	29.4	27.2	26.8	27.4	343.3	28.6	12
1993	28.9	28.8	29.4	31.3	32.7	35	32.3	30.7	29.5	30.1	28.2	27.1	364	30.3	12
1994	35.2	28.4	32.8	31.9	35	32	30.4	29.2	28.1	28.7	28	27.8	367.5	30.6	12
1995	27.2	29.2	33.3	32.5	35.5	33.8	31	31.3	29	29.7	29.6	28.6	370.7	30.9	12
1996	28.4	30	29.8	32.4	35.2								155.8	31.2	5
2002	28	29	32	34	35	33	30	30	30	32	28	28	369	30.8	12
2003	26												26	26	1
2005	27	30	30.5	33.3	34	36.2							191	31.8	6
2006	27.2	30.6	33.2	34.8	34.6	32.6							193	32.2	6
2007	28	30.2	31.4	33.2	33.6	35.3	31	30.8	31	30.2	28.2	28.8	371.7	31	12
2008	29	30.6	31.2	35.2	35.8	33.4	30.2	29.6	30.4	28.6	27.2	27	368.2	30.7	12
2009	28.6	33	32	34.2	35.6	35.6	32.4	34.2	29.7	32.4	27.2	28.2	383.1	31.9	12
2010	27.1	26.6	30	32.6	36.5	34.7	30.6	32.4	31	30.7	29.7	26.6	368.5	30.7	12
2011	28.3	30.3	32.5	36.2	36.8	34	31	31.8	31.6	30.1	29.7	29.1	381.4	31.8	12
2012	28.8	30.5	31.5	34.4	36.4	34.1	30.6	31.4	31.5	30.8	27.4		347.4	31.6	11
2013	27.2	30.5		34.2	34.8	35		31.4	29.9	29.7	29.4	28.6	310.7	31.1	10
2014	27.9					33.7	31.6	31.5	30.7	29.8	28.4	28.5	242.1	30.3	8
2015	28	30.2	30.5	31.8	33	32.9	31.6	31.5	31.2	30.8	28.9	27.6	368	30.7	12
2016	27.4	29.5	31	33.4	35.4	31.6	30.2	30.2	29.4	29.6	28.5	27.8	364	30.3	12
2017	28.7	29.4	31.4	31.8	34.6	33.4	30.5	31.3	31	29.2	29.9	27.9	369.1	30.8	12
2018	25.2	29.2	32.6	31.8	36.4	33.8	31.8	30.2	29.6	28.8	28.9	26.4	364.7	30.4	12
2019	28.4	31.2	32.9	33	34.2	34	31.2	31.6	30	30.6	28.8	27.8	373.7	31.1	12
2020										25.3			25.3	25.3	1
2023										25.3			25.3	25.3	1
MÍNIMA	24.2	26.6	29.4	30.5	30.6	31.3	28	28.2	28	25.3	26.7	25	25.3	25.3	
MÁXIMA	35.2	33	33.4	37	36.8	36.2	32.5	34.2	31.6	32.4	29.9	29.1	383.1	32.2	
MEDIA	27.7	29.3	31.4	33.3	34.9	33.7	30.6	30.5	29.9	29.5	28.5	27.4	288.5	30.2	
DESV.ST	1.9	1.5	1.2	1.6	1.4	1.3	1.2	1.4	1.1	1.7	1	1.1	120.9	1.8	

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982						31.9	28.5		27.6	25.9		21.9	135.8	27.2	5
1983	20.6	23.2	26.5	30.3	32.1	31.6							164.3	27.4	6
1984	22.2	23.6	27.7	30.3	28.7	28.9	26.1	26.5	23.4	27.1	25	23.7	313.2	26.1	12
1985	22.3	24.6	28	28.4	30.4	26.6	25.7	27.3	27.5	27	25.6	23.3	316.7	26.4	12
1988							26.7					23.6	50.3	25.1	2
1989	24.4	24.1	26.7	28.9	31.3	29.2	27.8	26.2	24.9	26.6	25.9	21.3	317.3	26.4	12
1990	23.6	23.8	26.9	29	30.4	28.9	25.9	25.9	26.1	25.2	24.9	23.9	314.5	26.2	12
1991	23.3	25.2	30.2	31.3	31.1	28.5	24	27.3	23.8	23.7	23.4	22	313.8	26.1	12
