 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2077 
 NOMBRE    : LA MISION 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016	5.9	6.5	7.2	8.7	12.3	14.8	16.1	16.6	14.2	11.8	7.8	6.5	128.4	10.7	12
2017	7.4	7.1	7.7	8.5	12.1	14.4	17.4	16.9	13.9	10	7	4	126.4	10.5	12
2018	8	5.5	7.1	9.2	11.2	13.9	17	18.1	14.1	11.3	8	5.9	129.3	10.8	12
2019	5.7	4.8	7	9.7	11.4	14.6	15.5	15.5	14.5	8	7.6	7.8	122.1	10.2	12
2020	5.4	6.1	8.8	10.8	12.9	14.7	14.5	16.7	14.1	11.7	6	4.2	125.9	10.5	12
MÍNIMA	3.9	4.2	5.4	7.9	9.4	12.2	14.5	14.1	11.9	8	5.7	2.4	113.5	9.5	
MÁXIMA	8	9.1	10.4	10.9	14.3	16.4	19.6	18.1	17.9	14.9	10.1	8.2	140.9	11.7	
MEDIA	5.9	6.3	7.7	9.2	12.2	14.4	16.5	16.5	15	11.5	7.6	5.3	128.1	10.7	
DESV.ST	1.2	1.5	1.4	0.9	1.1	0.9	1	1.2	1.5	1.6	1.3	1.4	7.1	0.6	

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	14.6	14.8	13.9	16.4	18.1	20.2	20.2	22.8	21.7	18	13.6	13.8	208.1	17.3	12
2001	12.1	12.9	14.7	14.6	18.4	19.6	20.9	21.2	20.2	18.4	16.1	12.2	201.3	16.8	12
2002	12.6	13.1	14	15.6	16.7	18.7	20.8	20.5	20.9	17.8	17.7	12.9	201.3	16.8	12
2003	15.7	14.8	15.3	14.6	16.8	18.6	21.6	22.4	21.1	20.1	15.1	12.8	208.9	17.4	12
2004	13.1	13.1	16	16.8	18.7	19.4	22	21	22.1	17.9	13.8	12.2	206.1	17.2	12
2005	13.8	14.2	14.7	15.1	17.6	18.6	21.5	22	18.8	17.9	16	13.3	203.5	17	12
2006	12.6	12.7	12.3	15.2	18	21.7	24.5	21.7	20.9	18.2	15.8	12.6	206.2	17.2	12
2007	12.6	13.7	14.6	15.4	18.4	19.3	22	23.2	21.3	19.3	16.2	12.5	208.5	17.4	12
2008	12.9	13.1	14.5	16.7	17.7	18.8	21.5	22.8	21.7	20.4	17.9	12.7	210.7	17.6	12
