 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22046 
 NOMBRE    : NOGALES 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	0	0	0	4.3	35.1	82.4	35.3	49.8	48.7	9.8	0	0	265.4	22.1	12
2001	0.5	0	0	15	49.7	173.9	32.7	77.9	22.2	0	0	0	371.9	31	12
2002	0	0	0	0	40.2	51	235.3	85.2	54.9	72.4	7.2	0	546.2	45.5	12
2003	0	0	0	6.5	5.81	41.01	52.5						105.82	15.1	7
2004			35.21	0	36.91	121.81	152.32	31	31.5	11.2	0	0	419.95	42	10
2005	0	0	0	0	0	0	7.9	63.22	0	0	0	0	71.12	5.9	12
2007	0	0	0	0									0	0	4
2010						63.31							63.31	63.3	1
2015	0	0	0	0	39.1	5.3	0	46.9	125	15.9	0	0	232.2	19.4	12
2016	0	0	0	0	39.1	100.61	23.44	134.81	0.02	15.9	0	0	313.88	26.2	12
2017	0	2367.7	0.02	0	0.02	16.73	139.52	68.4	50.22	4.93	0	0	2647.54	220.6	12
2018	0	0.02	0.02	3.82	16.64	185.22	23.44	64.91	169.41	121.94	51.6	0	637.02	53.1	12
2019	0	0	1.01	0	2.9	100.61	19.1	134.81	139.71	15.9	1.01	0	415.05	34.6	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	48.32	2367.7	35.21	96.8	81	219.1	235.3	144.72	169.41	130.4	51.6	19.7	2647.54	220.6	
MEDIA	5.7	84.4	4.6	9.2	27	75.3	84.6	70.6	46.9	28.6	5.9	3.1	385.7	35.7	
DESV.ST	13.3	439.2	8.5	19.7	21.5	57.5	62.7	44.6	48.8	38.1	11.3	5.9	453.3	37.2	

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
