Date,22058,22067,22063,22070,22004,22046,22067-2
2002-05-01,0,1.4,10.5,14.5,7.4,32.8,6.2
2002-06-01,0,2.7,21.2,5.6,37.7,15.1,12
2002-07-01,20,8.3,62.9,66.9,53.6,40,37
2002-08-01,24,5.5,80,33.5,19.4,32.9,24.7
2002-09-01,30,10.3,26,25.1,42.6,15,46
2002-10-01,3,8.5,38.6,27.5,36,19.8,38
2002-11-01,0,4.3,12.4,17.5,9.5,3.5,19
2002-12-01,0,0,0,0,0,0,0
2003-01-01,8,0.9,5.5,11,6.8,0,4
2003-02-01,0,0,0,0,0,0,0
2003-03-01,0,0,0,0,0,0,0
2003-04-01,0,0,0.3,1,0,6.5,0
2003-05-01,14,1,13.2,13.7,12.5,5.8,4.5
2003-06-01,11,4.1,37.9,34.8,76.8,22.7,18.3
2003-07-01,20,9.6,49.6,73,35.8,22.1,43
2003-08-01,70,13,64.5,38.5,45.7,40.6,58
2003-09-01,59,10.5,84.7,92,96.7,52.9,47
2003-10-01,20,4.1,23.1,9.9,31.5,14.4,18.5
2003-11-01,0,0,0.3,1.2,0,0.2,0
2003-12-01,0,0,0,0,0,0,0
2004-01-01,0,10.3,18.1,4.8,11.3,11.7,46
2004-02-01,0,0,0.5,1.6,0,0.3,0
2004-03-01,0,2.5,11.8,19,12.7,15.4,11
2004-04-01,0,0.9,2.5,0,5.4,0,4
2004-05-01,0,6.5,35.1,53.6,45.7,18,29
2004-06-01,56,11.2,61.1,24,79.6,45.3,50
2004-07-01,4,5.4,29.9,24,59.6,40.8,24
2004-08-01,26,9.4,50.3,72.4,32,18.9,42
2004-09-01,70,5.4,57.7,53.8,42.4,17,24
2004-10-01,25,4.7,27.2,22.9,22.6,7.6,21
2004-11-01,0,0,0,0,0,0,0
2004-12-01,0,0,0.9,1.6,1.7,0,0
2005-01-01,0,1,4,3.8,5.5,0,4.5
2005-02-01,6,0.3,6.2,6.9,8.4,0,1.5
2005-03-01,1,0,6,4,6.5,0,0
2005-04-01,0,1.6,3,4,4.7,0,7
2005-05-01,0,2.9,1.5,1.5,5.4,0,13
2005-06-01,0,0.2,0.1,1.2,1.6,0,1
2005-07-01,25,4.5,28.5,23.3,28.7,5.6,20
2005-08-01,40,7.4,55.6,69,48.6,42.8,33
2005-09-01,15,4.3,23.1,21.2,24.8,0,19
2005-10-01,20,2.1,15.1,7.4,12.6,0,9.5
2005-11-01,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,0,0
2006-01-01,20,4.1,16.5,21.2,20.7,14.3,18.2
2006-02-01,0,0.5,2,0,0,0.8,2.4
2006-03-01,15,2.3,9,8.7,7,8.2,10.1
2006-04-01,18,13.4,9.4,25.7,6.8,18.6,60
2006-05-01,20,5.1,29.4,8,35.5,14.9,22.7
2006-06-01,20,3.8,10.6,12.5,18.7,11.6,16.8
2006-07-01,30,9,36.1,28.5,21.6,22.9,40
2006-08-01,60,10.4,62.3,70.4,28.5,39.4,46.5
2006-09-01,25,9.7,59.4,18.8,132.5,36.6,43.5
2006-10-01,20,5.7,45.1,22.9,98.6,27.8,25.5
2006-11-01,10,1.3,14.6,21,13.6,9.1,6
2006-12-01,0,0,0.5,0,2,0.3,0
2007-01-01,4.7,1.7,4.2,3.8,9.4,0,7.5
2007-02-01,16.3,6.5,13,26.7,13.7,0,29
2007-03-01,0.5,0.1,0.8,1.6,0,0,0.5
2007-04-01,4.4,1.1,3.4,8.9,11.6,0,4.9
2007-05-01,10.3,2.6,14.3,13,15.5,9.1,11.6
2007-06-01,25,6.3,35,31.6,37.5,22.2,28.3
2007-07-01,39,9.9,50.5,49.2,62.6,34.5,44
2007-08-01,25,6.3,28.6,31.5,44,22.1,28.2
2007-09-01,26.2,6.6,30.6,33,45.5,23.1,29.5
2007-10-01,15.5,3.9,32,19.7,12.5,13.9,17.6
2007-11-01,9.6,2.4,14.2,12.1,13.5,8.5,10.8
2007-12-01,1.3,0.3,0.7,1.6,3,1.1,1.4
2008-01-01,0.1,0,0,0.3,0,0.1,0.1
2008-02-01,0.7,0.2,0,2.8,0,0.7,0.8
2008-03-01,0.1,0,0.3,0,0,0.1,0.1
2008-04-01,5,1.3,13.5,7,0,4.5,5.7
2008-05-01,10.2,2.6,18.3,7.8,17,9,11.5
2008-06-01,23.9,6.1,30,40,28,21.4,27.1
2008-07-01,25.2,6.4,28.6,40.1,34.8,22.4,28.4
2008-08-01,21.7,5.5,31.3,27.3,31.6,19.3,24.5
