 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22067 
 NOMBRE    : LA VENTA 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1994	26	27	29.1	28.8		21.4	20.9	21	21.8	26.7	25	23.4	271.1	24.6	11
1995	16	16.2			26	24.7		22.8	22.1	22.2			150	21.4	7
1996	9.3	11.8	15.5	17.5	21	21.2	20.9	25.2	27.4	26	27.2	27	250	20.8	12
1997	23.3	27.3		28	23.9	26.1	25.5	24.2	23.6		21.6	19.3	242.8	24.3	10
1998	17.6												17.6	17.6	1
2000	10.7	14	15.7	19.3	24.4	22.4		21.3		25.3	25.3	17.4	195.8	19.6	10
2001	22.1	25.5	27.1	29.5	28.6	26.6	26.7	26.7	26.4	23.9	22.3	23.2	308.6	25.7	12
2002	21	22.2	26.1	30.3	29.1	28.7	26.8	27.4	25.2	26.3	23.6	23.5	310.2	25.9	12
2003	21.8	26.3	27.9	29.2	31.6	27.9	26	27.2	27.3		25.8	23	294	26.7	11
2004	26	25.2	26.7	28.2	28.9	25.6	26.5	26.5	24.8	25.1	23.7	22.1	309.3	25.8	12
2005	22.2	22.1	23.2	29.9	30.2	30	27	26	25.8	25.4	25.6	23.4	310.8	25.9	12
2006	22.5	25.4	28.2	29.9	28.1	27.6	26	25.6	30.9	27.1	21.6	21.1	314	26.2	12
2007	23.1	24.8											47.9	24	2
2015	22.5	25.4	28.1	29.9	27.1	27.2	25	26	24.4				235.6	26.2	9
2016		24.8	24.1	25	26.3	26.6	25	24.3	23.8	21.6	22.7	23.8	268	24.4	11
2017		21.7	22.3	26.9	30	26.8	24.6	24.8	23.1	24.5	32.6	22.7	280	25.5	11
2018	20.9	24.6	26.9	26.4	27.9	28.8	25.7	27.6	24.1	21.2	25.2	26.2	305.5	25.5	12
2019	28	27.4	24.5	22.5	29.7	27.2	24.3	26	24.5	23.7	25.1	22.2	305.1	25.4	12
MÍNIMA	9.3	11.8	15.5	17.5	21	21.2	20.9	21	21.8	21.2	21.6	17.4	17.6	17.6	
MÁXIMA	28	27.4	29.4	31.1	31.7	30.1	27.7	27.6	30.9	27.1	32.6	27	324.9	27.3	
MEDIA	21.6	23.5	25.6	27.6	28.4	27	25.4	25.6	25.6	24.7	24.9	23.1	248	24.9	
DESV.ST	4.4	4	3.6	3.5	2.7	2.5	1.7	1.8	2.3	1.7	2.3	2.1	83.7	2.4	

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						3	7	5	7	5	-1	-2	24	3.4	7
1985	-3	-3	3	1	5		4	8	5	1.5	-2	-2	17.5	1.6	11
1986	-8	-3	-5	5	7	10	6	5.5	7	-1	-1.5	2	24	2	12
1987	0		-5	0	6	4	9	10	5	-1	-3	-3	22	2	11
1988	-6	-1	1	3	6	6	9	9	6	2	-2	1	34	2.8	12
1989	3	-6	-5	2	5	5	6	7	2		1		20	2	10
1990	2	-1	0	4	5	8.8	5		5	1	-3	-6	20.8	1.9	11
1991	-1	-1	-2	1	8	9	6	6	4	0			30	3	10
1992	3	4	3										10	3.3	3
1993		0	2	4	5	8	8	8			1	0	36	4	9
1994	0	5	4	5		5	6	8	4	7	7	6	57	5.2	11
1995	1	4			7	8		8	5	3			36	5.1	7
1996	-4	-6	1	1	8	7	6	8	8	3	-2	-1	29	2.4	12
1997	-3	2		3	7	10	9	7	7		4	1	47	4.7	10
1998	2												2	2	1
2000	-3	-3	2	5	7	8		7		7	8	3	41	4.1	10
2001	1	2	4	7	5	10	10	9	10	5	4	2	69	5.8	12
2002	1	-1	1	8	7	9	10	10	10	10	4	1	70	5.8	12
2003	1	5	4	10	10	12	9	10	10		3	1	75	6.8	11
2004	10	0	6	7	6	8	10	10	10	9	1	3	80	6.7	12
2005	1	2	4	8	9	14	10	10	11	7	8	7	91	7.6	12
2006	6	6	7	7	6	7	8	8	9	5	0	3	72	6	12
2007	2	5											7	3.5	2
2015	6	6	7	7	6	7	8	8	9				64	7.1	9
2016		5	6	8	8	9	9	8	6	1	3	4	67	6.1	11
2017		13	14	15	13	11	12	13	9	6	8	-1	113	10.3	11
2018	-1	7	8	9	2	11	12	13	9	7	9	11	97	8.1	12
2019	14	14	12	13	12	14	12	12	12	12	10	3	140	11.7	12
MÍNIMA	-8	-6	-5	0	2	3	4	5	2	-1	-3	-6	2	1.6	
MÁXIMA	14	14	14	15	13	14	12	13	12	12	10	11	140	11.7	
MEDIA	1	2.2	3.1	5.8	7	8.5	8.3	8.6	7.4	4.5	2.6	1.6	49.8	4.8	
DESV.ST	4.8	5	4.9	3.8	2.4	2.8	2.3	2.1	2.6	3.7	4.2	3.7	34.2	2.6	

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						10.6	10.4	8.9	9	7.6	2.5	4.7	53.7	7.7	7
1985	2	3.1	6.1	6.9	8.5		10.1	9.9	7.9	7.2	2.1	2.7	66.5	6	11
1986	-1.1	1	1.7	7.9	9.6	11.9	9.4	9.1	9.9	8.1	5.2	3.4	76.1	6.3	12
1987	2.3		4.3	6.2	10	8.1	11.5	12.4	9.2	3.2	3.3	2.5	73	6.6	11
1988	-0.5	3.7	4.7	7.5	8.5	10.7	11	11	8.8	5.6	4.9	4.2	80.1	6.7	12
1989	3.6	2.6	2.5	5.2	7.4	9.8	9	10	8.7		4.2		63	6.3	10
1990	4.3	2.4	4.5	6.9	9.2	10	8.1		9.9	8.1	4.2	0.4	68	6.2	11
1991	2.9	3.1	5	7.7	9.6	11.2	11	9.3	10.2	6.5			76.5	7.7	10
1992	8.6	8.2	9.5										26.3	8.8	3
1993		3.7	5.8	6.5	8.1	11.6	10.6	9.6			4.9	3.6	64.4	7.2	9
1994	5.5	8.6	7.5	8.1		10.3	8.8	10.4	9.4	11.1	10.2	8.8	98.7	9	11
1995	4.1	5.2			10.7	10.1		11.2	8.9	6.7			56.9	8.1	7
1996	-1	0.6	3.2	5.5	10.8	10	10.1	11.2	11.5	7.7	3.5	3	76.1	6.3	12
1997	1.4	4.6		6.4	10	12.9	11.3	10.2	9.9		9.4	4.9	81	8.1	10
1998	4.4												4.4	4.4	1
2000	0.1	3.2	4.9	7.7	10.4	11		9.8		10.1	9.9	6.7	73.8	7.4	10
2001	5.3	5.6	7.7	11.7	11.2	12.6	12.2	12	11.8	9.1	6.3	4.8	110.3	9.2	12
2002	5.6	5.8	8.4	11.1	11	11.7	12.2	11.9	13	11.5	8.8	6.4	117.4	9.8	12
2003	4.7	6.9	8.1	12.6	13.7	14.5	12.2	12.8	12.3		8.2	4	110	10	11
2004	11.6	4.3	8.9	10	10.9	12.4	11.8	12.2	12	11.1	7	6.3	118.5	9.9	12
2005	5.4	5.3	7	14	12	15.6	13.1	12	12.6	11.6	11.5	9.5	129.6	10.8	12
2006	8.2	8.2	8.3	8.6	11.9	9.4	10.4	11.6	11.8	9	5.4	5.5	108.3	9	12
2007	5.4	7.6											13	6.5	2
2015	8.2	8.2	8.3	8.6	11.9	9.4	10.5	11.6	11.8				88.5	9.8	9
2016		7.6	7.5	10.4	10.9	11.6	11.9	11.7	10.3	7.7	7.4	7.2	104.2	9.5	11
2017		15.6	16.2	15.9	15.9	14.1	13.2	14.4	13.8	12.3	13.9	6.2	151.5	13.8	11
2018	6.1	10	11.4	12.9	13	14.1	13.2	14.4	13.8	14	16.8	18.2	157.9	13.2	12
2019	20.8	19.7	17.6	15.9	15.1	20	13.1	13.8	13.6	13.5	12.8	9.9	185.8	15.5	12
MÍNIMA	-1.1	0.6	1.7	5.2	7.4	8.1	8.1	8.9	7.9	3.2	2.1	0.4	4.4	4.4	
MÁXIMA	20.8	19.7	17.6	15.9	15.9	20	13.2	14.4	13.8	14	16.8	18.2	185.8	15.5	
