 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2004 
 NOMBRE    : IGNACIO ZARAGOZA -BELEN- 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	-4	-2	1	1	3	6	13	11	11	3	-2	-4	37	3.1	12
1981	-3	-3	2	2	4	10	10	8	10	1	1	0	42	3.5	12
1982	10	0	-1	1	4	5	7	10	9	3	-1	-3	44	3.7	12
1983	6	0	4	0	4	6	6	13	13	7	-2	1	58	4.8	12
1984	1	0	1	1			15	13	11	3	5	2	52	5.2	10
1985	0	-3	0	3	2	6	8	8	4	5	2	-3	32	2.7	12
1986	0	0	2	4	3	3	4	5	1	1	3	1	27	2.2	12
1987	1	2	1	2	8	2	7	11	10.5	10	0	-4	50.5	4.2	12
1988	2	4	3	3	4	4	9	5	5	5	2	2	48	4	12
1989		-1	5	7	9	10	10	10	5	2	-1	-4	52	4.7	11
1990	0	0.1	1	5	4	7	12	10	9	4	0	-4	48.1	4	12
1991	0	1	0		3	6	10	11	8	4	1		44	4.4	10
1992	0	0	2	1	7	7							17	2.8	6
1993				2	5	7	9	8	4	4	0.1	0	39.1	4.3	9
1994	0	0	3	3	2	1	8	10	4	2	0	0	33	2.8	12
1995	0	4	1	2	2	6	10	12	9	2	3	0.1	51.1	4.3	12
1996	1	1	1	3	7	16	8	6	4	0	1	0	48	4	12
1997	1	0	0	0	3	2	3	7	7	1	1	1	26	2.2	12
1998	1	1	1	1	1	2	5	6	4	0	0	0	22	1.8	12
1999	0	0	0										0	0	3
2000	-8	-6	-6	-4	-1	0	1	3	1	-2	-9	-7	-38	-3.2	12
2001	-8	-8	-6	-4	-2	2	3	3	4	0	-4	-9	-29	-2.4	12
2002	-11	-9	-9	-2	0	0							-31	-5.2	6
2003						10.5	12.1	14	12	10	1.5	1	61.1	8.7	7
2004	0	0	2.5	5	9	11.2	11	17	9	11	8	9	92.7	7.7	12
2007					7	7	10	10	6	3	1	-3	41	5.1	8
2008	-2	-3	-2	-2	3	5	9	9	7	0	3		27	2.5	11
2009	-3	-3	-2	0	7	7	10	7	9	0	-4	-4	24	2	12
2010	-2	0	-2	-2	0	4	6	7	5	3	-5	-3	11	0.9	12
2011	-3	-4	-3	-2	1	4	9	9	9	1	0	0	21	1.8	12
2012	-0.5	-0.3	-0.3	-1	2	5	7	12	9	4			36.9	3.7	10
2013	0	0	0	0	5	6	11	7	5	2	1	-4	33	2.8	12
2014	-2	-2	1	-1	4	7	4	10	9	6	0	-3	33	2.8	12
2015	-4	0	-1	2	6	7	10	10	10	7	-3	-4	40	3.3	12
2016	-3	-3	0	1	5	8	10	9	6	5	0	1	39	3.2	12
2017	-3	1	-1	1	3	5	9	10	5	4	1	0	35	2.9	12
2018	-2	-6	-3	1	4	3			10	4	1	-3	9	0.9	10
2019	-4	-4	-2	2	2	3	7	7	8	2	3	1	25	2.1	12
2020	0	0	2	3	3	3	7	22	10	9	6	4	69	5.8	12
MÍNIMA	-11	-9	-9	-4	-2	0	1	3	1	-5.5	-9	-9	-38	-5.2	
MÁXIMA	10	4	5	7	9	16	15	22	15	11	8	9	92.7	8.7	
MEDIA	-1.8	-1.6	-0.5	0.9	3.5	5.7	8.3	9.6	7.4	3.2	0.3	-2.1	30.4	2.6	
DESV.ST	3.4	2.8	2.5	2.2	2.4	3	2.7	3.3	3	3.1	2.9	3.3	22.8	2.3	

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964												2.9	2.9	2.9	1
1965	2.9	1.2	3.1	6.1	7.3	9.1	12.3	14.9	10.1	8.6	6.2	2.7	84.5	7	12
1966	0.2	1	3.3	8.9	9.9	10.8	13	14.7	11.1	6.7	6.6	3.1	89.3	7.4	12
1967	4.9	2.9	5.5	4.7	7.6	9.5	16.2	17.2	14.3	8.7	7.6	2.7	101.8	8.5	12
1968	0.7	5.6	3.7	5.3	8.8	10.3	15.1	14	12.4	8.1	4.8	-0.1	88.7	7.4	12
1969	5.4	3.2	2.8	7	7.2	10.9	14.1	15.4	13.9	5.3	8.7	1.8	95.7	8	12
1970	1.8	4.3	4.1	3.2	10.2	13.9	20.1	18	9.9	7.5	4.2	-0.2	97	8.1	12
1971	0.9	1.4	2.2	4.3	6.8	9.5	13.3	16.7	12.4	6.8	2.9	0.6	77.8	6.5	12
1972	-1.2	1.7	3.3	4.8	9.2	12.7	17.1	15.6	12.3	11.1	5.1	1.8	93.5	7.8	12
